age,workclass,occupation,relationship,gender,income
20-29, Private, Sales, Own-child, Male, <=50K
50-59, Private, Craft-repair, Husband, Male, <=50K
50-59, State-gov, Transport-moving, Husband, Male, <=50K
50-59, Self-emp-inc, Prof-specialty, Husband, Male, >50K
50-59, Self-emp-not-inc, Exec-managerial, Unmarried, Female, <=50K
40-49, Private, Exec-managerial, Unmarried, Female, <=50K
30-39, Local-gov, Prof-specialty, Husband, Male, <=50K
20-29, Private, Adm-clerical, Own-child, Female, <=50K
40-49, Private, Handlers-cleaners, Husband, Male, <=50K
40-49, Private, Craft-repair, Own-child, Male, <=50K
40-49, Private, Craft-repair, Husband, Male, >50K
40-49, Private, Prof-specialty, Husband, Male, >50K
20-29, Private, Farming-fishing, Own-child, Male, <=50K
30-39, Private, Sales, Not-in-family, Male, <=50K
40-49, Private, Tech-support, Not-in-family, Female, <=50K
20-29, Private, Handlers-cleaners, Own-child, Male, <=50K
40-49, Private, Other-service, Unmarried, Female, <=50K
20-29, Private, Other-service, Husband, Male, <=50K
50-59, Federal-gov, Tech-support, Husband, Male, <=50K
40-49, Private, Craft-repair, Husband, Male, <=50K
50-59, Private, Machine-op-inspct, Husband, Male, <=50K
70-79, ?, ?, Husband, Male, <=50K
30-39, Private, Other-service, Unmarried, Female, <=50K
40-49, Self-emp-not-inc, Protective-serv, Not-in-family, Male, >50K
30-39, Private, Sales, Husband, Male, >50K
40-49, Private, Handlers-cleaners, Husband, Male, <=50K
60-69, Self-emp-inc, Sales, Husband, Male, <=50K
40-49, Private, Adm-clerical, Unmarried, Female, <=50K
20-29, Private, Transport-moving, Not-in-family, Female, <=50K
50-59, Private, Machine-op-inspct, Husband, Male, <=50K
50-59, Self-emp-not-inc, Exec-managerial, Unmarried, Male, >50K
30-39, Private, Transport-moving, Husband, Male, <=50K
30-39, ?, ?, Unmarried, Female, <=50K
20-29, Private, Sales, Own-child, Male, <=50K
30-39, Private, Adm-clerical, Unmarried, Female, <=50K
50-59, Self-emp-inc, Prof-specialty, Unmarried, Male, >50K
30-39, Private, Sales, Not-in-family, Male, <=50K
60-69, Private, Adm-clerical, Husband, Male, <=50K
40-49, Private, Transport-moving, Not-in-family, Male, <=50K
60-69, Self-emp-not-inc, Prof-specialty, Husband, Male, >50K
20-29, Private, Adm-clerical, Not-in-family, Female, <=50K
40-49, Private, Sales, Husband, Male, >50K
30-39, Private, Adm-clerical, Not-in-family, Female, <=50K
50-59, Private, Craft-repair, Husband, Male, <=50K
40-49, Private, Prof-specialty, Not-in-family, Male, >50K
20-29, State-gov, Prof-specialty, Own-child, Female, <=50K
20-29, Private, Sales, Not-in-family, Male, >50K
30-39, ?, ?, Husband, Male, <=50K
30-39, Private, Craft-repair, Husband, Male, >50K
40-49, Self-emp-not-inc, Machine-op-inspct, Not-in-family, Male, <=50K
30-39, Private, Transport-moving, Not-in-family, Male, <=50K
20-29, Private, Adm-clerical, Not-in-family, Male, <=50K
60-69, Private, Other-service, Husband, Male, <=50K
20-29, ?, ?, Own-child, Female, <=50K
80-89, Self-emp-not-inc, Sales, Not-in-family, Male, <=50K
60-69, Private, Machine-op-inspct, Unmarried, Female, <=50K
50-59, Private, Adm-clerical, Not-in-family, Female, <=50K
30-39, Local-gov, Protective-serv, Husband, Male, >50K
50-59, Private, Sales, Unmarried, Male, >50K
30-39, State-gov, Exec-managerial, Husband, Male, >50K
30-39, ?, ?, Not-in-family, Female, <=50K
30-39, Private, Handlers-cleaners, Husband, Male, <=50K
20-29, Private, Tech-support, Own-child, Female, <=50K
40-49, Private, Transport-moving, Husband, Male, <=50K
40-49, Local-gov, Prof-specialty, Unmarried, Female, <=50K
40-49, Local-gov, Transport-moving, Husband, Male, <=50K
30-39, Private, Craft-repair, Husband, Male, >50K
60-69, Private, Prof-specialty, Husband, Male, >50K
30-39, Local-gov, Tech-support, Not-in-family, Male, <=50K
20-29, ?, ?, Own-child, Female, <=50K
30-39, Self-emp-not-inc, Farming-fishing, Husband, Male, <=50K
30-39, State-gov, Prof-specialty, Not-in-family, Male, <=50K
30-39, Private, Prof-specialty, Husband, Male, >50K
40-49, Private, Transport-moving, Husband, Male, <=50K
50-59, Private, Transport-moving, Husband, Male, >50K
20-29, ?, ?, Own-child, Female, <=50K
30-39, Private, Adm-clerical, Unmarried, Female, <=50K
40-49, Self-emp-not-inc, Farming-fishing, Husband, Male, <=50K
20-29, Self-emp-not-inc, Adm-clerical, Not-in-family, Female, <=50K
60-69, Private, Farming-fishing, Husband, Male, <=50K
60-69, Private, Tech-support, Husband, Male, >50K
30-39, Self-emp-not-inc, Sales, Own-child, Male, <=50K
30-39, Private, Farming-fishing, Own-child, Male, <=50K
60-69, Private, Adm-clerical, Not-in-family, Female, <=50K
40-49, Self-emp-inc, Exec-managerial, Husband, Male, >50K
40-49, Private, Tech-support, Husband, Male, >50K
40-49, Private, Handlers-cleaners, Not-in-family, Male, <=50K
40-49, Private, Sales, Husband, Male, >50K
40-49, Local-gov, Other-service, Husband, Male, <=50K
50-59, Private, Other-service, Not-in-family, Female, <=50K
30-39, Private, Adm-clerical, Unmarried, Female, <=50K
30-39, Private, Exec-managerial, Husband, Male, >50K
20-29, Private, Other-service, Not-in-family, Male, >50K
40-49, Self-emp-not-inc, Craft-repair, Husband, Male, <=50K
40-49, Private, Priv-house-serv, Unmarried, Female, <=50K
40-49, Private, Craft-repair, Not-in-family, Female, <=50K
40-49, Private, Sales, Husband, Male, <=50K
30-39, Self-emp-inc, Exec-managerial, Husband, Male, <=50K
20-29, Private, Other-service, Other-relative, Male, <=50K
20-29, Private, Exec-managerial, Other-relative, Female, <=50K
20-29, Private, Machine-op-inspct, Own-child, Female, <=50K
80-89, Self-emp-not-inc, Adm-clerical, Not-in-family, Male, >50K
30-39, ?, ?, Own-child, Female, <=50K
70-79, Private, Sales, Not-in-family, Female, <=50K
20-29, Private, Sales, Own-child, Male, <=50K
40-49, Private, Other-service, Unmarried, Female, <=50K
40-49, Self-emp-inc, Sales, Unmarried, Female, >50K
30-39, Private, Sales, Not-in-family, Male, <=50K
20-29, Private, Handlers-cleaners, Other-relative, Male, <=50K
40-49, Private, Machine-op-inspct, Husband, Male, >50K
40-49, Private, Tech-support, Husband, Male, >50K
30-39, Private, Sales, Husband, Male, <=50K
40-49, Private, Other-service, Not-in-family, Female, <=50K
60-69, Private, Machine-op-inspct, Not-in-family, Female, <=50K
40-49, Private, Sales, Husband, Male, >50K
40-49, Private, Other-service, Not-in-family, Male, <=50K
20-29, Local-gov, Other-service, Not-in-family, Male, <=50K
50-59, Private, Craft-repair, Husband, Male, >50K
40-49, Private, Prof-specialty, Husband, Male, <=50K
40-49, Private, Exec-managerial, Husband, Male, >50K
40-49, Private, Prof-specialty, Husband, Male, >50K
30-39, Private, Protective-serv, Husband, Male, <=50K
70-79, Local-gov, Adm-clerical, Unmarried, Female, <=50K
20-29, Private, Other-service, Not-in-family, Female, <=50K
20-29, Private, Handlers-cleaners, Other-relative, Male, <=50K
30-39, Private, Tech-support, Husband, Male, >50K
40-49, Private, Exec-managerial, Not-in-family, Female, <=50K
30-39, Self-emp-not-inc, Transport-moving, Not-in-family, Male, <=50K
40-49, Private, Sales, Unmarried, Female, <=50K
30-39, Private, Transport-moving, Husband, Male, <=50K
30-39, State-gov, Adm-clerical, Own-child, Male, <=50K
30-39, Private, Farming-fishing, Husband, Male, <=50K
60-69, Self-emp-inc, Exec-managerial, Not-in-family, Male, >50K
50-59, Private, Sales, Husband, Male, <=50K
40-49, Private, Craft-repair, Unmarried, Female, <=50K
90-99, Private, Craft-repair, Husband, Male, <=50K
70-79, Self-emp-inc, Exec-managerial, Husband, Male, >50K
20-29, Private, Adm-clerical, Unmarried, Female, <=50K
30-39, Private, Craft-repair, Husband, Male, <=50K
50-59, Private, Transport-moving, Husband, Male, <=50K
20-29, Private, Other-service, Unmarried, Female, <=50K
20-29, Private, Sales, Own-child, Female, <=50K
60-69, Private, Exec-managerial, Husband, Male, <=50K
50-59, Private, Prof-specialty, Unmarried, Female, <=50K
30-39, Private, Prof-specialty, Husband, Male, >50K
20-29, Private, Sales, Not-in-family, Male, <=50K
50-59, Private, Craft-repair, Husband, Male, <=50K
50-59, Private, Transport-moving, Husband, Male, <=50K
50-59, Federal-gov, Prof-specialty, Not-in-family, Female, >50K
30-39, Self-emp-not-inc, Craft-repair, Husband, Male, <=50K
40-49, Self-emp-inc, Prof-specialty, Husband, Male, >50K
20-29, ?, ?, Own-child, Female, <=50K
20-29, Private, Machine-op-inspct, Own-child, Male, <=50K
50-59, Private, Adm-clerical, Not-in-family, Male, <=50K
40-49, Private, Prof-specialty, Not-in-family, Male, <=50K
60-69, Private, Craft-repair, Unmarried, Male, <=50K
40-49, Self-emp-not-inc, Sales, Husband, Male, <=50K
40-49, ?, ?, Unmarried, Male, <=50K
20-29, Federal-gov, Adm-clerical, Own-child, Male, <=50K
50-59, State-gov, Adm-clerical, Not-in-family, Male, >50K
30-39, Private, Craft-repair, Husband, Male, >50K
30-39, Private, Handlers-cleaners, Own-child, Female, <=50K
30-39, Private, Transport-moving, Not-in-family, Male, <=50K
30-39, Private, Machine-op-inspct, Husband, Male, >50K
40-49, Private, Farming-fishing, Husband, Male, <=50K
50-59, Private, Machine-op-inspct, Unmarried, Female, <=50K
40-49, Private, Craft-repair, Husband, Male, >50K
30-39, Private, Other-service, Own-child, Female, <=50K
20-29, Private, Handlers-cleaners, Own-child, Male, <=50K
50-59, Local-gov, Other-service, Husband, Male, >50K
50-59, Private, Sales, Husband, Male, <=50K
40-49, Private, Sales, Husband, Male, >50K
50-59, Federal-gov, Craft-repair, Husband, Male, >50K
20-29, Private, Adm-clerical, Not-in-family, Female, <=50K
20-29, ?, ?, Own-child, Male, <=50K
30-39, State-gov, Prof-specialty, Wife, Female, >50K
40-49, Local-gov, Protective-serv, Husband, Male, >50K
60-69, Private, Adm-clerical, Husband, Male, <=50K
40-49, Private, Prof-specialty, Not-in-family, Female, <=50K
40-49, Private, Machine-op-inspct, Wife, Female, <=50K
30-39, Private, Exec-managerial, Wife, Female, >50K
20-29, Private, Handlers-cleaners, Not-in-family, Male, <=50K
40-49, Private, Tech-support, Not-in-family, Female, <=50K
30-39, Private, Prof-specialty, Own-child, Female, <=50K
40-49, Private, Adm-clerical, Not-in-family, Female, <=50K
40-49, Private, Craft-repair, Husband, Male, <=50K
40-49, Private, Exec-managerial, Husband, Male, >50K
20-29, Private, Tech-support, Not-in-family, Male, <=50K
40-49, Private, Tech-support, Wife, Female, >50K
30-39, Private, Sales, Not-in-family, Male, <=50K
60-69, ?, ?, Husband, Male, <=50K
50-59, Private, Machine-op-inspct, Husband, Male, <=50K
30-39, Private, Sales, Husband, Male, <=50K
30-39, Private, Sales, Not-in-family, Male, <=50K
20-29, Private, Craft-repair, Husband, Male, <=50K
30-39, Self-emp-not-inc, Sales, Unmarried, Male, <=50K
20-29, Private, Adm-clerical, Own-child, Male, <=50K
50-59, Private, Exec-managerial, Wife, Female, >50K
30-39, Private, Adm-clerical, Not-in-family, Female, <=50K
20-29, State-gov, Other-service, Own-child, Female, <=50K
40-49, Private, Other-service, Husband, Male, >50K
60-69, Private, Machine-op-inspct, Husband, Male, <=50K
30-39, Private, Prof-specialty, Unmarried, Male, <=50K
20-29, Private, Adm-clerical, Own-child, Female, <=50K
40-49, Private, Prof-specialty, Husband, Male, <=50K
40-49, Private, Machine-op-inspct, Not-in-family, Female, <=50K
40-49, Private, Other-service, Wife, Female, <=50K
20-29, Private, Adm-clerical, Own-child, Female, <=50K
50-59, Private, Craft-repair, Husband, Male, >50K
40-49, Private, Prof-specialty, Husband, Male, <=50K
60-69, Private, Transport-moving, Husband, Male, <=50K
60-69, Private, Adm-clerical, Husband, Male, <=50K
60-69, Private, Transport-moving, Husband, Male, <=50K
20-29, Private, Exec-managerial, Husband, Male, <=50K
40-49, Local-gov, Prof-specialty, Husband, Male, >50K
50-59, Self-emp-inc, Sales, Not-in-family, Male, <=50K
30-39, Private, Exec-managerial, Own-child, Male, <=50K
40-49, Private, Adm-clerical, Unmarried, Female, <=50K
50-59, Local-gov, Other-service, Other-relative, Female, <=50K
50-59, Self-emp-inc, Prof-specialty, Husband, Male, >50K
40-49, Private, Exec-managerial, Not-in-family, Female, <=50K
20-29, State-gov, Prof-specialty, Not-in-family, Female, <=50K
20-29, Private, Handlers-cleaners, Other-relative, Male, <=50K
40-49, Private, Craft-repair, Husband, Male, <=50K
50-59, Private, Sales, Unmarried, Male, >50K
60-69, Private, Prof-specialty, Husband, Male, >50K
40-49, Private, Transport-moving, Husband, Male, <=50K
60-69, Self-emp-inc, Exec-managerial, Wife, Female, >50K
50-59, Private, Farming-fishing, Other-relative, Male, <=50K
20-29, Private, Other-service, Own-child, Male, <=50K
30-39, Private, Machine-op-inspct, Husband, Male, <=50K
50-59, Self-emp-not-inc, Prof-specialty, Husband, Male, <=50K
60-69, Private, Craft-repair, Husband, Male, <=50K
40-49, Self-emp-not-inc, Craft-repair, Husband, Male, <=50K
30-39, Private, Adm-clerical, Husband, Male, <=50K
40-49, Self-emp-not-inc, Prof-specialty, Husband, Male, <=50K
40-49, Private, Exec-managerial, Not-in-family, Male, <=50K
30-39, Private, Prof-specialty, Not-in-family, Female, <=50K
30-39, Private, Prof-specialty, Not-in-family, Male, >50K
30-39, Private, Craft-repair, Husband, Male, >50K
30-39, Private, Handlers-cleaners, Unmarried, Male, <=50K
40-49, Local-gov, Craft-repair, Not-in-family, Male, <=50K
30-39, Private, Sales, Husband, Male, <=50K
30-39, Private, Handlers-cleaners, Other-relative, Female, <=50K
20-29, ?, ?, Own-child, Male, <=50K
30-39, ?, ?, Unmarried, Female, <=50K
40-49, State-gov, Prof-specialty, Husband, Male, >50K
20-29, Private, Farming-fishing, Own-child, Male, <=50K
40-49, Private, Other-service, Husband, Male, <=50K
40-49, Private, Craft-repair, Husband, Male, <=50K
40-49, Private, Exec-managerial, Not-in-family, Male, <=50K
60-69, Private, Exec-managerial, Husband, Male, <=50K
30-39, Private, Transport-moving, Own-child, Male, <=50K
20-29, Private, Other-service, Not-in-family, Female, <=50K
40-49, Self-emp-not-inc, Farming-fishing, Husband, Male, <=50K
30-39, Self-emp-not-inc, Farming-fishing, Husband, Male, <=50K
20-29, Private, Other-service, Own-child, Male, <=50K
80-89, Self-emp-not-inc, Prof-specialty, Unmarried, Male, >50K
20-29, Private, Other-service, Own-child, Male, <=50K
80-89, Private, Sales, Husband, Male, <=50K
50-59, Self-emp-inc, Other-service, Not-in-family, Male, <=50K
30-39, Private, Prof-specialty, Husband, Male, <=50K
50-59, Self-emp-not-inc, Prof-specialty, Husband, Male, >50K
40-49, Private, Other-service, Husband, Male, <=50K
60-69, ?, ?, Not-in-family, Female, <=50K
60-69, Private, Other-service, Husband, Male, <=50K
20-29, Private, Machine-op-inspct, Not-in-family, Male, <=50K
20-29, Private, Adm-clerical, Wife, Female, <=50K
40-49, Local-gov, Prof-specialty, Own-child, Female, <=50K
50-59, Self-emp-not-inc, Sales, Husband, Male, >50K
30-39, Private, Craft-repair, Husband, Male, <=50K
40-49, Private, Craft-repair, Not-in-family, Male, <=50K
50-59, Self-emp-not-inc, Craft-repair, Husband, Male, <=50K
60-69, Private, Adm-clerical, Wife, Female, <=50K
40-49, Private, Prof-specialty, Husband, Male, >50K
40-49, Private, Craft-repair, Husband, Male, >50K
30-39, Private, Craft-repair, Husband, Male, >50K
70-79, ?, ?, Husband, Male, <=50K
60-69, Private, Adm-clerical, Not-in-family, Female, <=50K
20-29, Private, Farming-fishing, Own-child, Male, <=50K
30-39, Local-gov, Adm-clerical, Husband, Male, >50K
30-39, Private, Adm-clerical, Own-child, Female, <=50K
20-29, Private, Craft-repair, Own-child, Male, <=50K
30-39, Private, Adm-clerical, Not-in-family, Female, <=50K
50-59, Private, Priv-house-serv, Unmarried, Female, <=50K
20-29, Private, Handlers-cleaners, Own-child, Male, <=50K
30-39, Private, Exec-managerial, Husband, Male, <=50K
20-29, Private, Adm-clerical, Own-child, Male, <=50K
30-39, State-gov, Other-service, Unmarried, Female, <=50K
50-59, Private, Exec-managerial, Unmarried, Female, <=50K
40-49, Private, Machine-op-inspct, Not-in-family, Female, <=50K
20-29, Private, Adm-clerical, Other-relative, Female, <=50K
20-29, Local-gov, Farming-fishing, Own-child, Male, <=50K
60-69, State-gov, Adm-clerical, Not-in-family, Female, <=50K
20-29, Private, Sales, Own-child, Male, <=50K
20-29, Private, Other-service, Not-in-family, Male, <=50K
40-49, Local-gov, Craft-repair, Husband, Male, >50K
40-49, Private, Craft-repair, Not-in-family, Male, <=50K
30-39, Private, Sales, Husband, Male, >50K
30-39, Private, Craft-repair, Unmarried, Female, <=50K
20-29, Private, Exec-managerial, Own-child, Female, <=50K
70-79, Private, Other-service, Not-in-family, Female, <=50K
20-29, Private, Sales, Own-child, Female, <=50K
50-59, Federal-gov, Adm-clerical, Husband, Male, >50K
20-29, Private, Adm-clerical, Not-in-family, Female, <=50K
20-29, Private, Other-service, Wife, Female, <=50K
20-29, Private, Sales, Unmarried, Female, <=50K
50-59, State-gov, Transport-moving, Husband, Male, <=50K
50-59, Private, Sales, Wife, Female, >50K
60-69, ?, ?, Husband, Male, <=50K
40-49, State-gov, Exec-managerial, Not-in-family, Female, <=50K
50-59, Federal-gov, Exec-managerial, Not-in-family, Female, <=50K
30-39, Private, Sales, Not-in-family, Female, <=50K
70-79, Self-emp-inc, Sales, Unmarried, Female, <=50K
40-49, Self-emp-not-inc, Prof-specialty, Husband, Male, >50K
60-69, Self-emp-not-inc, Exec-managerial, Husband, Male, >50K
40-49, Private, Craft-repair, Husband, Male, <=50K
20-29, Private, Sales, Own-child, Female, <=50K
20-29, Private, Adm-clerical, Wife, Female, <=50K
30-39, Local-gov, Prof-specialty, Husband, Male, <=50K
40-49, Private, Exec-managerial, Other-relative, Female, <=50K
60-69, Private, Adm-clerical, Not-in-family, Female, <=50K
40-49, Private, Prof-specialty, Not-in-family, Male, <=50K
40-49, Private, Prof-specialty, Own-child, Female, <=50K
20-29, Private, Handlers-cleaners, Own-child, Male, <=50K
60-69, Private, Exec-managerial, Wife, Female, >50K
40-49, Private, Tech-support, Not-in-family, Female, <=50K
50-59, Local-gov, Prof-specialty, Not-in-family, Female, >50K
60-69, Private, Craft-repair, Husband, Male, <=50K
40-49, Private, Machine-op-inspct, Husband, Male, <=50K
30-39, State-gov, Adm-clerical, Not-in-family, Male, <=50K
20-29, Private, Other-service, Own-child, Male, <=50K
40-49, Private, Exec-managerial, Not-in-family, Male, <=50K
30-39, Self-emp-not-inc, Sales, Not-in-family, Male, <=50K
40-49, Private, Sales, Husband, Male, >50K
30-39, Private, Other-service, Husband, Male, <=50K
30-39, Private, Prof-specialty, Husband, Male, <=50K
70-79, Private, Transport-moving, Not-in-family, Male, <=50K
20-29, Private, Other-service, Own-child, Female, <=50K
30-39, Private, Adm-clerical, Not-in-family, Female, <=50K
20-29, Private, Handlers-cleaners, Own-child, Male, <=50K
50-59, Private, Craft-repair, Husband, Male, <=50K
40-49, Private, Prof-specialty, Unmarried, Female, <=50K
50-59, Private, Adm-clerical, Not-in-family, Female, <=50K
30-39, Private, Prof-specialty, Husband, Male, >50K
60-69, ?, ?, Husband, Male, >50K
40-49, Local-gov, Prof-specialty, Unmarried, Female, <=50K
20-29, Private, Other-service, Own-child, Male, <=50K
20-29, State-gov, Exec-managerial, Not-in-family, Male, <=50K
40-49, Private, Adm-clerical, Other-relative, Female, <=50K
20-29, Private, Prof-specialty, Wife, Female, <=50K
50-59, Private, Other-service, Unmarried, Male, <=50K
40-49, Self-emp-not-inc, Craft-repair, Husband, Male, <=50K
40-49, Private, Exec-managerial, Husband, Male, <=50K
40-49, Private, Sales, Wife, Female, >50K
40-49, Federal-gov, Prof-specialty, Husband, Male, >50K
60-69, Private, Prof-specialty, Not-in-family, Female, <=50K
70-79, Self-emp-not-inc, Adm-clerical, Wife, Female, <=50K
50-59, Private, Prof-specialty, Wife, Female, <=50K
60-69, Private, Craft-repair, Husband, Male, <=50K
20-29, Local-gov, Protective-serv, Husband, Male, >50K
40-49, Private, Craft-repair, Husband, Male, >50K
40-49, Private, Transport-moving, Own-child, Male, <=50K
30-39, Private, Transport-moving, Own-child, Male, <=50K
40-49, Private, Craft-repair, Not-in-family, Male, <=50K
40-49, Private, Adm-clerical, Not-in-family, Female, <=50K
30-39, Private, Adm-clerical, Not-in-family, Female, <=50K
20-29, Private, Other-service, Own-child, Male, <=50K
40-49, Private, Sales, Not-in-family, Female, <=50K
40-49, Self-emp-inc, Craft-repair, Husband, Male, <=50K
40-49, Self-emp-not-inc, Exec-managerial, Husband, Male, <=50K
20-29, ?, ?, Own-child, Female, <=50K
50-59, Local-gov, Adm-clerical, Not-in-family, Female, <=50K
50-59, ?, ?, Husband, Male, >50K
30-39, Private, Other-service, Own-child, Female, <=50K
50-59, Private, Farming-fishing, Husband, Male, <=50K
20-29, Private, Sales, Own-child, Female, <=50K
20-29, Private, Transport-moving, Own-child, Male, <=50K
50-59, Private, Handlers-cleaners, Other-relative, Male, <=50K
30-39, Private, Other-service, Unmarried, Female, <=50K
50-59, Private, Exec-managerial, Husband, Male, >50K
30-39, Private, Tech-support, Not-in-family, Female, >50K
40-49, Private, Exec-managerial, Not-in-family, Male, <=50K
50-59, Private, Tech-support, Husband, Male, <=50K
70-79, Self-emp-not-inc, Farming-fishing, Husband, Male, <=50K
20-29, Private, Other-service, Own-child, Male, <=50K
30-39, Private, Prof-specialty, Unmarried, Female, <=50K
40-49, Local-gov, Prof-specialty, Husband, Male, >50K
20-29, ?, ?, Own-child, Male, <=50K
30-39, Private, Machine-op-inspct, Unmarried, Female, <=50K
40-49, Federal-gov, Exec-managerial, Husband, Male, >50K
50-59, Private, Sales, Husband, Male, >50K
50-59, State-gov, Protective-serv, Unmarried, Male, <=50K
40-49, Private, Adm-clerical, Unmarried, Female, <=50K
60-69, Private, Other-service, Husband, Male, <=50K
40-49, Private, Prof-specialty, Unmarried, Female, <=50K
30-39, Private, Prof-specialty, Not-in-family, Male, <=50K
60-69, Private, Transport-moving, Unmarried, Male, <=50K
40-49, Private, Sales, Own-child, Male, <=50K
20-29, Private, Adm-clerical, Own-child, Male, <=50K
50-59, Private, Adm-clerical, Not-in-family, Female, <=50K
40-49, Private, Prof-specialty, Husband, Male, >50K
30-39, Self-emp-not-inc, Adm-clerical, Unmarried, Female, <=50K
40-49, Self-emp-not-inc, Prof-specialty, Not-in-family, Male, <=50K
20-29, Private, Other-service, Not-in-family, Male, <=50K
30-39, Private, Craft-repair, Husband, Male, <=50K
20-29, Private, Sales, Own-child, Female, <=50K
60-69, ?, ?, Husband, Male, <=50K
40-49, Private, Adm-clerical, Husband, Male, >50K
50-59, Self-emp-not-inc, Transport-moving, Not-in-family, Male, <=50K
30-39, Private, Craft-repair, Not-in-family, Male, <=50K
50-59, Private, Exec-managerial, Husband, Male, >50K
40-49, Private, Exec-managerial, Husband, Male, <=50K
30-39, Private, Other-service, Unmarried, Female, <=50K
50-59, State-gov, Exec-managerial, Husband, Male, <=50K
40-49, Private, Transport-moving, Husband, Male, >50K
60-69, Private, Prof-specialty, Husband, Male, <=50K
50-59, Private, Protective-serv, Husband, Male, >50K
50-59, Local-gov, Prof-specialty, Husband, Male, <=50K
40-49, Private, Adm-clerical, Own-child, Female, <=50K
40-49, Self-emp-not-inc, Prof-specialty, Not-in-family, Female, <=50K
30-39, Private, Exec-managerial, Husband, Male, <=50K
60-69, Self-emp-not-inc, Machine-op-inspct, Husband, Male, >50K
30-39, Private, Craft-repair, Husband, Male, <=50K
50-59, Local-gov, Adm-clerical, Husband, Male, <=50K
70-79, ?, ?, Not-in-family, Female, <=50K
60-69, Self-emp-inc, Exec-managerial, Husband, Male, <=50K
40-49, Private, Exec-managerial, Unmarried, Female, <=50K
20-29, Private, Other-service, Own-child, Female, <=50K
20-29, Private, Sales, Not-in-family, Female, <=50K
30-39, Private, Prof-specialty, Not-in-family, Female, <=50K
40-49, State-gov, Other-service, Unmarried, Female, <=50K
50-59, Private, Handlers-cleaners, Unmarried, Female, <=50K
40-49, Private, Craft-repair, Not-in-family, Male, <=50K
30-39, Private, Tech-support, Wife, Female, <=50K
40-49, Private, Sales, Husband, Male, >50K
40-49, Private, Prof-specialty, Not-in-family, Male, >50K
40-49, Private, Prof-specialty, Own-child, Male, <=50K
60-69, Private, Adm-clerical, Not-in-family, Female, <=50K
50-59, Self-emp-not-inc, Exec-managerial, Husband, Male, <=50K
20-29, Private, Prof-specialty, Own-child, Male, <=50K
30-39, Local-gov, Adm-clerical, Own-child, Female, <=50K
40-49, Private, Craft-repair, Husband, Male, <=50K
40-49, Local-gov, Adm-clerical, Not-in-family, Female, <=50K
30-39, Private, Prof-specialty, Husband, Male, <=50K
60-69, Private, Exec-managerial, Husband, Male, >50K
60-69, ?, ?, Husband, Male, >50K
20-29, Private, Exec-managerial, Not-in-family, Male, <=50K
30-39, Private, Machine-op-inspct, Husband, Male, <=50K
40-49, Private, Sales, Not-in-family, Female, <=50K
20-29, Private, Craft-repair, Own-child, Male, <=50K
20-29, Private, Adm-clerical, Not-in-family, Male, <=50K
50-59, Federal-gov, Exec-managerial, Husband, Male, >50K
40-49, Self-emp-inc, Exec-managerial, Husband, Male, >50K
60-69, Private, Exec-managerial, Not-in-family, Female, <=50K
40-49, Private, Adm-clerical, Wife, Female, <=50K
30-39, Private, Craft-repair, Husband, Male, <=50K
30-39, Private, Exec-managerial, Husband, Male, <=50K
40-49, Self-emp-inc, Transport-moving, Not-in-family, Male, <=50K
60-69, ?, ?, Not-in-family, Female, >50K
30-39, Private, Craft-repair, Husband, Male, <=50K
40-49, Private, Exec-managerial, Husband, Male, <=50K
30-39, Private, Sales, Own-child, Female, <=50K
50-59, Self-emp-inc, Exec-managerial, Unmarried, Female, <=50K
20-29, Private, Other-service, Unmarried, Female, <=50K
50-59, Local-gov, Prof-specialty, Husband, Male, >50K
30-39, Private, Tech-support, Not-in-family, Female, <=50K
50-59, Private, Craft-repair, Husband, Male, <=50K
50-59, Federal-gov, Adm-clerical, Husband, Male, >50K
50-59, Private, Adm-clerical, Unmarried, Male, <=50K
70-79, Private, Machine-op-inspct, Unmarried, Male, <=50K
30-39, Private, Sales, Husband, Male, >50K
50-59, Private, Transport-moving, Husband, Male, <=50K
40-49, Private, Sales, Husband, Male, >50K
50-59, Local-gov, Prof-specialty, Wife, Female, <=50K
30-39, Private, Prof-specialty, Husband, Male, <=50K
30-39, Private, Prof-specialty, Husband, Male, <=50K
30-39, Private, Transport-moving, Not-in-family, Male, <=50K
60-69, Private, Adm-clerical, Not-in-family, Female, <=50K
30-39, Private, Other-service, Husband, Male, <=50K
50-59, Private, Craft-repair, Husband, Male, <=50K
40-49, Local-gov, Adm-clerical, Own-child, Female, <=50K
40-49, Private, Craft-repair, Husband, Male, >50K
70-79, Self-emp-not-inc, Sales, Husband, Male, <=50K
50-59, Self-emp-inc, Exec-managerial, Husband, Male, >50K
60-69, Private, Adm-clerical, Not-in-family, Female, <=50K
50-59, Federal-gov, Adm-clerical, Not-in-family, Female, <=50K
20-29, Private, Tech-support, Not-in-family, Female, <=50K
30-39, Self-emp-not-inc, Transport-moving, Husband, Male, <=50K
20-29, Self-emp-not-inc, Farming-fishing, Own-child, Male, <=50K
60-69, Private, Craft-repair, Husband, Male, <=50K
30-39, Local-gov, Prof-specialty, Husband, Male, <=50K
60-69, Private, Adm-clerical, Husband, Male, <=50K
40-49, Private, Prof-specialty, Not-in-family, Male, <=50K
30-39, Private, Craft-repair, Other-relative, Male, <=50K
40-49, Private, Other-service, Not-in-family, Female, <=50K
60-69, State-gov, Adm-clerical, Husband, Male, >50K
